image,lol_of_genrated_response,lol_of_original_response
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x500 at 0x7C9727B68D70>,"[['""[\'An elderly woman wearing a purple shirt and carrying an orange bag and a coffee cup is walking down a street."", ""'], ['An older woman wearing a purple hat is carrying an orange bag and a cup of coffee."", ""'], ['An older woman in a purple shirt and a purple hat is carrying an orange bag."", ""'], ['A woman wearing a purple shirt and hat is carrying an orange plastic bag."", ""'], ['A woman in purple hat and shirt is walking.\']""']]","[['An old woman with a purple shirt, and purple hair piece and a mud cup is walking the streets.'], ['A woman staring at the camera from behind sunglasses, holding a bag and coffee cup.'], ['Older woman in purple top with a purple flower in her hair.'], ['A woman is wearing a purple had with a large flower on it.'], ['Old lady carrying coffee down street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9727535580>,"[['""[\'Two men wearing leis and grass skirts pose on the ramp of a truck."", ""'], ['Two men in hula skirts and flower leis pose by a truck."", ""'], ['Two men wearing grass skirts standing on a truck bed."", ""'], ['Two men in Hawaiian leis and grass skirts on a truck."", ""'], ['Two men posing for the camera in hula skirts.\']""']]","[['Two men stand in hula grass skirts stand in the back of a truck at the top of a silver ramp.'], ['Two men in Hawaiian shirts and grass skirts are posing outside of a moving truck.'], ['Two men in hula skirts are standing at the top of a ramp in a truck.'], ['Two men are wearing hula skirts in the back of a moving truck.'], ['Two men dressed in hula skirts on the back of a moving truck.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727318170>,"[['""[\'Two men, one wearing a blue jacket and the other wearing a brown suit jacket, are walking on the street."", ""'], ['Two men walk down the street next to words that have been written on the ground."", ""'], ['Two older men are walking down a street while a man is writing on the street."", ""'], ['Two older men walking down a street with words written on it."", ""'], ['Two men walking on a street next to a chalk drawing.\']""']]","[['Two older men in business attire are walking in a city, text graffiti is visible on the sidewalk.'], ['Two men walk along a busy city street with words printed on the sidewalk.'], ['Two elderly people walk down a city sidewalk by words written in chalk.'], ['Two people walk down a city street that has writing on it.'], ['Two men walk through a city with words on the street.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9744EFD850>,"[['""[\'Two girls are playing in the water and getting sprayed by the water fountain."", ""'], ['Two little girls play in the water as water sprays in the background."", ""'], ['Two young girls are playing in a fountain."", ""'], ['Two girls play in the water at a fountain."", ""'], ['Two young girls playing in a fountain.\']""']]","[['Two smiling little girls playing in a fountain with other people.'], ['Two young girls are running through shallow water at a pool.'], ['Two young girls run through a pool while water sprays them.'], ['Two girls running through pool while water sprays over them'], ['Two girls run through a sprinkler in a pool.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=375x500 at 0x7C9727465A90>,"[['""[\'A person wearing a dental mask and glasses looking at the camera."", ""'], ['A woman with glasses is laying down with a mask over her mouth."", ""'], ['A person with glasses and a surgical mask."", ""'], ['A woman with glasses is at the dentist."", ""'], ['A girl with glasses at the dentist.\']""']]","[['A woman in glasses has her eyes wide open while she is at the dentist.'], ['Lady with a green mask at the dentist and she just look very unhappy.'], ['A person wearing glasses is prepped for some kind of dental work.'], ['This woman is having some sort of dental procedure done.'], ['A woman with glasses is undergoing a dental procedure.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C972736BCB0>,"[['""[\'A skier in pink pants and black jacket, with a backpack, skiing down a snowy hill."", ""'], ['A skier is skiing down the hill while wearing pink pants."", ""'], ['A skier wearing pink pants skis down a mountain."", ""'], ['A person skiing down a mountain."", ""'], ['A skier goes downhill.\']""']]","[['A man on skis on a snow-covered hill with mountains in the background'], ['A skier in red pants is on a snow covered slope.'], ['A person in red pants skis down a mountain.'], ['A man with red pants is skiing downhill.'], ['This person is skiing.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97444FC740>,"[['""[\'A man with a gray shirt on is playing the drums with his hair flying."", ""'], ['A man in a gray shirt playing the drums with his hair flying."", ""'], ['A man with a gray shirt on plays the drums."", ""'], ['A man with spiky hair is playing the drums."", ""'], ['A man with wild hair is playing the drums.\']""']]","[['A dark-haired drummer is playing his set with enthusiasm.'], ['A man in a gray shirt with crazy hair playing the drums.'], ['A guy in a black shirt is rocking on a set of drums.'], ['Man in gray shirt rocking out on the drums.'], ['A very excited drummer playing the drums.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=334x500 at 0x7C9744B7A090>,"[['""[\'A man in a black vest and white cap is in a fenced-in area fighting with a German shepherd dog."", ""'], ['A man in black clothing is practicing with a dog in a fenced in area."", ""'], ['A man is training a dog to attack with a stick in a fenced in area."", ""'], ['A man is being attacked by a German Shepherd."", ""'], ['A man fighting with a dog in a park.\']""']]","[['A man wearing padded arm protection is being bitten by a German shepherd dog.'], ['A man wearing pads on his limbs is being bitten by a dog.'], ['A man in a safety suit training a police German Shepherd.'], ['A man with a quilted glove is bitten by a dog.'], ['A man trains a dog to attack.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=369x500 at 0x7C972735FB00>,"[['""[\'A young boy wearing an orange construction hat and vest is looking down at a walkway while he stands near his family and two other construction workers."", ""'], ['A little boy wearing a construction vest and hat stands near his family as they are all looking at something in the distance."", ""'], ['A group of construction workers and their families standing on a balcony."", ""'], ['A little boy in an orange construction outfit stands with his family."", ""'], ['A little boy and family looking down from an overpass.\']""']]","[['Three men in yellow hard hats, two women, and a young boy are standing on an elevated platform viewing something below.'], ['Several construction workers next to a rail, with a child dressed as a worker.'], ['Three men in hard hats, a couple, and a child look down upon something.'], ['A group of people, some in hard hats, are looking at something.'], ['A little boy in a construction outfit stands with his parents.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C972735D010>,"[['""[\'A young girl is sitting down on a ledge while drinking out of a cup with a straw."", ""'], ['A girl in a black shirt and jeans is drinking a soda while looking at a dolphin."", ""'], ['A young girl drinking a drink while looking at a dolphin in the background."", ""'], ['A young girl drinks a cup of water as a dolphin passes by."", ""'], ['A girl sips a drink while a dolphin swims by.\']""']]","[['A blond girl is sitting drinking a soda and looking at a dolphin swimming in the background.'], ['A young girl sips from a drinking cup while gazing at a fish tank while a dolphin swims boy.'], ['A little girl at an aquarium sitting in front of a dolphin tank drinking something.'], ['A girl drinks from a straw while sitting near the glass of a dolphin enclosure.'], ['A girl drinking from a cup and enjoying the dolphin.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=333x500 at 0x7C9727397F50>,"[['""[\'A football player with the number 28 on his jersey and a red helmet on."", ""'], ['Football player wearing red jersey and helmet on field."", ""'], ['A football player wearing a red jersey and helmet."", ""'], ['Football player with number 28 on his jersey."", ""'], ['A football player wearing red jersey.\']""']]","[['The Oklahoma football player watches the game from the sidelines.'], ['A man in a red football uniform and helmet looks to the left.'], ['A football player is in a red and white uniform Sooners #28.'], ['This football team wears red shirts and red helmets.'], ['A large football player in a red uniform']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x333 at 0x7C97449ED550>,"[['""[\'A young boy in a striped shirt throws a soccer ball."", ""'], ['A young boy in a striped shirt is throwing a ball."", ""'], ['A little boy throws a ball to the camera."", ""'], ['A young boy is throwing a soccer ball."", ""'], ['A young boy throws a ball.\']""']]","[['A boy in a striped shirt with his arm stretched out is outside with a soccer ball.'], ['A young boy smiles while playing with a soccer ball.'], ['A little boy is playing and there is a soccer ball.'], ['A little boy with a soccer ball flying.'], ['Young boy throws a white soccer ball.']]"
<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=500x375 at 0x7C9727493AA0>,"[['""[\'Elderly people are sitting at tables while others are standing around talking."", ""'], ['A group of older people are sitting at tables talking and laughing."", ""'], ['People are talking and sitting at tables in a large room."", ""'], ['Several older people are sitting and standing at tables."", ""'], ['A group of seniors are having a gathering.\']""']]","[['A large amount of older people are sitting in a room full of tables talking with each other.'], ['A group of senior citizens are seated at round white tables as they wait for food.'], ['A room full of tables with elderly people sitting and standing around them.'], ['Many elderly people sit at tables with snow in the windows.'], ['A crowd of elderly men and woman socializing.']]"
